company,primary_domain,vertical_group,tier,wave,fit_score,contacts_target,apollo_lists,hold,gate_notes
"Crocs, Inc.",crocs.com,Fashion & Footwear,Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
Hyatt Hotels,hyatt.com,"QSR, Franchise & Hospitality",Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | HOLD | Conflict Review,True,HOLD: conflict check must be cleared with Sam before outreach
Inter Parfums,interparfumsinc.com,Beauty & Personal Care,Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Steve Madden,stevemadden.com,Fashion & Footwear,Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
Dine Brands Global,dinebrands.com,"QSR, Franchise & Hospitality",Tier 1 Named,1,80,6,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Oddity Tech,oddity.com,Beauty & Personal Care,Tier 1 Named,1,80,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Bath & Body Works,bathandbodyworks.com,Omnichannel Retail,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Church & Dwight,churchdwight.com,CPG Multi-Brand,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Clorox,clorox.com,CPG Multi-Brand,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
E. & J. Gallo Winery,gallo.com,CPG Multi-Brand,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Edgewell Personal Care,edgewell.com,CPG Multi-Brand,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
GoTo Foods,gotofoods.com,"QSR, Franchise & Hospitality",Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | HOLD | Conflict Review,True,HOLD: conflict check must be cleared with Sam before outreach
Kontoor Brands,kontoorbrands.com,Fashion & Footwear,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
Academy Sports and Outdoors,academy.com,Omnichannel Retail,Tier 1 Named,2,78,6,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Celsius Holdings,celsius.com,CPG Multi-Brand,Tier 1 Named,1,78,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Fossil Group,fossilgroup.com,Fashion & Footwear,Tier 1 Named,2,78,6,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear,False,
McCormick & Company,mccormick.com,CPG Multi-Brand,Tier 1 Named,1,78,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Bloomin' Brands,bloominbrands.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,77,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
GNC Holdings,gnc.com,Omnichannel Retail,Tier 2 Priority,2,77,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Helen of Troy,helenoftroy.com,CPG Multi-Brand,Tier 2 Priority,1,77,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Inspire Brands,inspirebrands.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,77,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Oxford Industries,oxfordinc.com,Fashion & Footwear,Tier 2 Priority,2,77,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear,False,
Petco Health and Wellness,petco.com,Omnichannel Retail,Tier 2 Priority,1,77,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
The J.M. Smucker Company,jmsmucker.com,CPG Multi-Brand,Tier 2 Priority,2,77,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Bausch + Lomb,bauschlomb.com,Consumer Health & Wellness,Tier 2 Priority,1,76,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness,False,HQ footprint in Canada: CASL legal review before any send; CASL review flagged on the Method tab
Boot Barn Holdings,bootbarn.com,Omnichannel Retail,Tier 2 Priority,2,76,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Kenvue,kenvue.com,Beauty & Personal Care,Tier 2 Priority,1,76,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Molson Coors,molsoncoors.com,CPG Multi-Brand,Tier 2 Priority,2,76,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Papa John's International,papajohns.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,76,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Beiersdorf North America,beiersdorfusa.com,Beauty & Personal Care,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Chobani,chobani.com,CPG Multi-Brand,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Constellation Brands,cbrands.com,CPG Multi-Brand,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Dick's Sporting Goods,dickssportinggoods.com,Omnichannel Retail,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Energizer Holdings,energizerholdings.com,CPG Multi-Brand,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
RH,rh.com,Omnichannel Retail,Tier 2 Priority,2,75,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Shiseido Americas,shiseido.com,Beauty & Personal Care,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Whirlpool Corporation,whirlpool.com,Mobility & Devices,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Mobility & Devices,False,
Wingstop,wingstop.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | HOLD | Conflict Review,True,HOLD: conflict check must be cleared with Sam before outreach
Driven Brands Holdings,drivenbrands.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,74,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Hain Celestial Group,hain.com,CPG Multi-Brand,Tier 2 Priority,1,74,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Tractor Supply Company,tractorsupply.com,Omnichannel Retail,Tier 2 Priority,1,74,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Dexcom,dexcom.com,Consumer Health & Wellness,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness,False,
Hims & Hers Health,hims.com,Consumer Health & Wellness,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness,False,
Jack in the Box Inc.,jackinthebox.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,73,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Panera Brands,panerabrands.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,73,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
The Simply Good Foods Company,simplygoodfoodscompany.com,CPG Multi-Brand,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
The Vitamin Shoppe,vitaminshoppe.com,Omnichannel Retail,Tier 2 Priority,3,73,5,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail,False,
Utz Brands,utzsnacks.com,CPG Multi-Brand,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Vuori,vuoriclothing.com,Fashion & Footwear,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
Dutch Bros,dutchbros.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,72,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Five Below,fivebelow.com,Omnichannel Retail,Tier 2 Priority,2,72,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Movado Group,movadogroup.com,Fashion & Footwear,Tier 2 Priority,2,72,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear,False,
Post Holdings,postholdings.com,CPG Multi-Brand,Tier 2 Priority,2,72,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Sonos,sonos.com,Mobility & Devices,Tier 2 Priority,2,72,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Mobility & Devices,False,
Wayfair,wayfair.com,Omnichannel Retail,Tier 2 Priority,1,72,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Conagra Brands,conagrabrands.com,CPG Multi-Brand,Tier 2 Priority,2,71,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Rivian Automotive,rivian.com,Mobility & Devices,Tier 2 Priority,2,71,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Mobility & Devices,False,
Ulta Beauty,ulta.com,Omnichannel Retail,Tier 2 Priority,1,71,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Reynolds Consumer Products,reynoldsconsumerproducts.com,CPG Multi-Brand,Tier 2 Priority,2,70,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Solventum,solventum.com,Consumer Health & Wellness,Tier 2 Priority,1,70,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness,False,
BellRing Brands,bellring.com,CPG Multi-Brand,Tier 2 Priority,2,69,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Torrid Holdings,torrid.com,Omnichannel Retail,Tier 2 Priority,2,69,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Burlington Stores,burlington.com,Omnichannel Retail,Tier 2 Priority,2,68,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Chewy,chewy.com,Omnichannel Retail,Tier 2 Priority,2,68,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Hormel Foods,hormelfoods.com,CPG Multi-Brand,Tier 2 Priority,3,68,5,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | CPG Multi-Brand,False,
Lancaster Colony,lancastercolony.com,CPG Multi-Brand,Tier 2 Priority,2,68,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Savers Value Village,savers.com,Omnichannel Retail,Tier 3 Volume,3,67,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail,False,CASL review flagged on the Method tab
Whoop,whoop.com,Consumer Health & Wellness,Tier 3 Volume,2,67,3,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Consumer Health & Wellness,False,
Flowers Foods,flowersfoods.com,CPG Multi-Brand,Tier 3 Volume,2,66,3,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Arhaus,arhaus.com,Omnichannel Retail,Tier 3 Volume,3,65,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail,False,
CAVA Group,cava.com,"QSR, Franchise & Hospitality",Tier 3 Volume,2,65,3,"T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | QSR, Franchise & Hospitality",False,
Amorepacific US,amorepacific.com,Beauty & Personal Care,Tier 3 Volume,3,64,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Sol de Janeiro,soldejaneiro.com,Beauty & Personal Care,Tier 3 Volume,3,64,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
First Watch Restaurant Group,firstwatch.com,"QSR, Franchise & Hospitality",Tier 3 Volume,2,63,3,"T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | QSR, Franchise & Hospitality",False,
Ollie's Bargain Outlet,ollies.us,Omnichannel Retail,Tier 3 Volume,3,63,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Omnichannel Retail,False,
Rare Beauty,rarebeauty.com,Beauty & Personal Care,Tier 3 Volume,3,63,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Olaplex Holdings,olaplex.com,Beauty & Personal Care,Tier 3 Volume,3,62,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Rothy's,rothys.com,Fashion & Footwear,Tier 3 Volume,3,62,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear,False,
Sweetgreen,sweetgreen.com,"QSR, Franchise & Hospitality",Tier 3 Volume,3,62,3,"T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | QSR, Franchise & Hospitality",False,
Vera Bradley,verabradley.com,Fashion & Footwear,Tier 3 Volume,3,62,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear,False,
Ro,ro.co,Consumer Health & Wellness,Tier 3 Volume,3,61,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness,False,
Glossier,glossier.com,Beauty & Personal Care,Tier 3 Volume,3,60,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Duluth Trading Company,duluthtrading.com,Fashion & Footwear,Tier 3 Volume,3,59,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear,False,
Nutrafol,nutrafol.com,Consumer Health & Wellness,Tier 3 Volume,3,59,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness,False,
Vital Farms,vitalfarms.com,CPG Multi-Brand,Tier 3 Volume,3,59,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | CPG Multi-Brand,False,
iRhythm Technologies,irhythmtech.com,Consumer Health & Wellness,Tier 3 Volume,2,59,3,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Consumer Health & Wellness,False,
Mielle Organics,mielleorganics.com,Beauty & Personal Care,Tier 3 Volume,3,58,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care,False,
Portillo's,portillos.com,"QSR, Franchise & Hospitality",Tier 3 Volume,3,58,3,"T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | QSR, Franchise & Hospitality",False,
Thorne HealthTech,thorne.com,Consumer Health & Wellness,Tier 3 Volume,3,58,3,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness,False,
Faherty Brand,fahertybrand.com,Fashion & Footwear,Nurture,3,54,1,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear,False,"tier is Nurture: content and events only, no sequence"
