company,primary_domain,vertical_group,tier,wave,fit_score,contacts_target,apollo_lists,hold,gate_notes
Hyatt Hotels,hyatt.com,"QSR, Franchise & Hospitality",Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | HOLD | Conflict Review,True,HOLD: conflict check must be cleared with Sam before outreach
Inter Parfums,interparfumsinc.com,Beauty & Personal Care,Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Steve Madden,stevemadden.com,Fashion & Footwear,Tier 1 Named,1,81,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
Dine Brands Global,dinebrands.com,"QSR, Franchise & Hospitality",Tier 1 Named,1,80,6,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Oddity Tech,oddity.com,Beauty & Personal Care,Tier 1 Named,1,80,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Bath & Body Works,bathandbodyworks.com,Omnichannel Retail,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Church & Dwight,churchdwight.com,CPG Multi-Brand,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Clorox,clorox.com,CPG Multi-Brand,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
E. & J. Gallo Winery,gallo.com,CPG Multi-Brand,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Edgewell Personal Care,edgewell.com,CPG Multi-Brand,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
GoTo Foods,gotofoods.com,"QSR, Franchise & Hospitality",Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | HOLD | Conflict Review,True,HOLD: conflict check must be cleared with Sam before outreach
Kontoor Brands,kontoorbrands.com,Fashion & Footwear,Tier 1 Named,1,79,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
Celsius Holdings,celsius.com,CPG Multi-Brand,Tier 1 Named,1,78,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
McCormick & Company,mccormick.com,CPG Multi-Brand,Tier 1 Named,1,78,6,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Bloomin' Brands,bloominbrands.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,77,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Helen of Troy,helenoftroy.com,CPG Multi-Brand,Tier 2 Priority,1,77,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Inspire Brands,inspirebrands.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,77,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Petco Health and Wellness,petco.com,Omnichannel Retail,Tier 2 Priority,1,77,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Bausch + Lomb,bauschlomb.com,Consumer Health & Wellness,Tier 2 Priority,1,76,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness,False,HQ footprint in Canada: CASL legal review before any send; CASL review flagged on the Method tab
Kenvue,kenvue.com,Beauty & Personal Care,Tier 2 Priority,1,76,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Papa John's International,papajohns.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,76,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Beiersdorf North America,beiersdorfusa.com,Beauty & Personal Care,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Chobani,chobani.com,CPG Multi-Brand,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Constellation Brands,cbrands.com,CPG Multi-Brand,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Dick's Sporting Goods,dickssportinggoods.com,Omnichannel Retail,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Energizer Holdings,energizerholdings.com,CPG Multi-Brand,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Shiseido Americas,shiseido.com,Beauty & Personal Care,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care,False,
Whirlpool Corporation,whirlpool.com,Mobility & Devices,Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Mobility & Devices,False,
Wingstop,wingstop.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,75,5,T100 | Master | All Accounts; T100 | HOLD | Conflict Review,True,HOLD: conflict check must be cleared with Sam before outreach
Driven Brands Holdings,drivenbrands.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,74,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Hain Celestial Group,hain.com,CPG Multi-Brand,Tier 2 Priority,1,74,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Tractor Supply Company,tractorsupply.com,Omnichannel Retail,Tier 2 Priority,1,74,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Dexcom,dexcom.com,Consumer Health & Wellness,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness,False,
Hims & Hers Health,hims.com,Consumer Health & Wellness,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness,False,
Jack in the Box Inc.,jackinthebox.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,73,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Panera Brands,panerabrands.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,73,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
The Simply Good Foods Company,simplygoodfoodscompany.com,CPG Multi-Brand,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Utz Brands,utzsnacks.com,CPG Multi-Brand,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand,False,
Vuori,vuoriclothing.com,Fashion & Footwear,Tier 2 Priority,1,73,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear,False,
Dutch Bros,dutchbros.com,"QSR, Franchise & Hospitality",Tier 2 Priority,1,72,5,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality",False,
Wayfair,wayfair.com,Omnichannel Retail,Tier 2 Priority,1,72,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Ulta Beauty,ulta.com,Omnichannel Retail,Tier 2 Priority,1,71,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail,False,
Solventum,solventum.com,Consumer Health & Wellness,Tier 2 Priority,1,70,5,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Consumer Health & Wellness,False,
