name,domain,subindustry,industry_tier,revenue_band,ownership_type,account_segment,primary_multiplier,icp_fit_score,account_tier,outbound_eligible,warm_only,hq_state,hq_country
Vuori,vuoriclothing.com,Fashion and apparel,Tier 1,$500M to $1B,Growth backed,S3;S10,High growth performance apparel. 100+ stores planned. International expansion. Colourway heavy assortment,73,Tier 2 Priority,true,false,CA,US
Dutch Bros,dutchbros.com,QSR and franchise,Tier 1,$1B to $5B,Public,S3;S8,950+ locations with very aggressive unit growth. Heavy seasonal and LTO menu cadence. Strong social and community presence,72,Tier 2 Priority,true,false,AZ,US
Five Below,fivebelow.com,Omnichannel retail,Tier 1,$1B to $5B,Public,S2;S4,"1,800+ stores with aggressive expansion. Very high SKU turnover. Licensed and trend driven assortment",72,Tier 2 Priority,true,false,PA,US
Movado Group,movadogroup.com,Fashion and accessories,Tier 1,$500M to $1B,Public,S3;S7,"Movado, Concord, Ebel plus licensed brands including Coach, Tommy Hilfiger, Hugo Boss, Lacoste, Calvin Klein",72,Tier 2 Priority,true,false,NJ,US
Post Holdings,postholdings.com,CPG multi brand,Tier 1,$5B to $10B,Public,S2;S7,"Cereal, pet food and foodservice portfolio with 20+ brands including Post, Honey Bunches of Oats, Rachael Ray Nutrish",72,Tier 2 Priority,true,false,MO,US
Sonos,sonos.com,Consumer electronics,Tier 2,$1B to $5B,Public,S2,Premium audio hardware across 60+ markets. Finish and configuration variation. Software plus hardware content requirement,72,Tier 2 Priority,true,false,CA,US
Wayfair,wayfair.com,Omnichannel retail,Tier 1,Over $10B,Public,S2;S4;S6,"30M+ SKUs, multiple owned brands including Allmodern, Joss & Main, Birch Lane, Perigold. Operates a retail media network",72,Tier 2 Priority,true,false,MA,US
Conagra Brands,conagrabrands.com,CPG multi brand,Tier 1,Over $10B,Public,S2;S7,"40+ brands including Birds Eye, Healthy Choice, Slim Jim, Duncan Hines. Very high SKU count",71,Tier 2 Priority,true,false,IL,US
Rivian Automotive,rivian.com,Automotive,Tier 2,$1B to $5B,Public,S3;S10,Electric vehicles with DTC model. Configuration and colour variation. Rapid product line expansion. Heavy brand content requirement,71,Tier 2 Priority,true,false,CA,US
Ulta Beauty,ulta.com,Omnichannel retail,Tier 1,Over $10B,Public,S2;S4;S6,"1,400+ stores, 25,000+ SKUs across 600+ brands, operates a retail media network",71,Tier 2 Priority,true,false,IL,US
Reynolds Consumer Products,reynoldsconsumerproducts.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3;S7,"Reynolds Wrap, Hefty, Presto and store brand manufacturing. Very high SKU count across sizes and formats",70,Tier 2 Priority,true,false,IL,US
Solventum,solventum.com,Consumer health and device,Tier 2,$5B to $10B,Public,S2;S7,"Medical, dental, health IT and purification portfolio spun from 3M. Very high SKU count across four segments",70,Tier 2 Priority,true,false,MN,US
BellRing Brands,bellring.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3,Premier Protein and Dymatize. High velocity nutrition category with heavy flavour and format variation,69,Tier 2 Priority,true,false,MO,US
Torrid Holdings,torrid.com,Omnichannel retail,Tier 1,$1B to $5B,Public,S3;S4,600+ stores plus strong e-commerce. Apparel with extensive size range. Frequent collection drops,69,Tier 2 Priority,true,false,CA,US
Burlington Stores,burlington.com,Omnichannel retail,Tier 1,$5B to $10B,Public,S2;S4,"1,100+ stores with rapid expansion. Off price model with constantly changing assortment",68,Tier 2 Priority,true,false,NJ,US
Chewy,chewy.com,Omnichannel retail,Tier 1,Over $10B,Public,S2;S4;S6,"Pure play e-commerce with 100,000+ SKUs, operates Chewy Ads retail media network, expanding private label brands",68,Tier 2 Priority,true,false,FL,US
Hormel Foods,hormelfoods.com,CPG multi brand,Tier 1,Over $10B,Public,S2;S7,"40+ brands including Skippy, Planters, Jennie-O, Applegate, Wholly. Retail plus foodservice",68,Tier 2 Priority,true,false,MN,US
Lancaster Colony,lancastercolony.com,CPG multi brand,Tier 1,$1B to $5B,Public,S3;S7,"Marzetti and Sister Schubert's plus licensed restaurant brands including Olive Garden, Buffalo Wild Wings, Chick-fil-A dressings",68,Tier 2 Priority,true,false,OH,US
Savers Value Village,savers.com,Omnichannel retail,Tier 1,$1B to $5B,Public,S3;S4,350+ thrift stores across US and Canada. Multiple banners. Assortment is entirely unique per store,67,Tier 3 Volume,true,false,WA,US
Whoop,whoop.com,Consumer health and wellness,Tier 2,$250M to $500M,VC backed,S3;S10,"Wearable health technology with subscription model. High content requirement for education, community and performance marketing",67,Tier 3 Volume,true,false,MA,US
Flowers Foods,flowersfoods.com,CPG multi brand,Tier 1,$5B to $10B,Public,S3;S7,"Nature's Own, Dave's Killer Bread, Wonder, Canyon Bakehouse plus regional bakery brands. Direct store delivery network",66,Tier 3 Volume,true,false,GA,US
Arhaus,arhaus.com,Omnichannel retail,Tier 1,$1B to $5B,Public,S3;S4,"100+ showrooms with expansion. High SKU count with fabric, finish and configuration variation",65,Tier 3 Volume,true,false,OH,US
CAVA Group,cava.com,QSR and fast casual,Tier 1,$500M to $1B,Public,S3;S10,370+ locations with very aggressive expansion. Company operated. High menu innovation and seasonal cadence,65,Tier 3 Volume,true,false,DC,US
Amorepacific US,amorepacific.com,Beauty and personal care,Tier 1,$250M to $500M,Subsidiary,S3;S7,"Laneige, Innisfree, Sulwhasoo, COSRX in the US market. Multiple brands with distinct positioning",64,Tier 3 Volume,true,false,NY,US
Sol de Janeiro,soldejaneiro.com,Beauty and personal care,Tier 1,$250M to $500M,Subsidiary,S3;S10,High growth body and fragrance brand within Grupo Boticario. Sold through Sephora and Ulta. Heavy social and creator content,64,Tier 3 Volume,true,false,NY,US
First Watch Restaurant Group,firstwatch.com,QSR and franchise,Tier 1,$500M to $1B,Public,S3;S8,"570+ locations, mixed franchise and company operated, aggressive unit growth, seasonal menu cadence",63,Tier 3 Volume,true,false,FL,US
Ollie's Bargain Outlet,ollies.us,Omnichannel retail,Tier 1,$1B to $5B,Public,S3;S4,550+ stores with rapid expansion. Closeout model with constantly changing assortment. Minimal e-commerce,63,Tier 3 Volume,true,false,PA,US
Rare Beauty,rarebeauty.com,Beauty and personal care,Tier 1,$250M to $500M,Private,S3;S10,Celebrity founded beauty brand with high social cadence. Sold through Sephora. Shade heavy assortment,63,Tier 3 Volume,true,false,CA,US
Olaplex Holdings,olaplex.com,Beauty and personal care,Tier 1,$250M to $500M,Public,S3,Professional and consumer hair care with numbered product system. Salon plus retail plus DTC channels,62,Tier 3 Volume,true,false,CA,US
Rothy's,rothys.com,Fashion and footwear,Tier 1,$250M to $500M,PE backed,S3;S10,Sustainable footwear and accessories. Colourway and pattern heavy. International expansion. PE majority owner,62,Tier 3 Volume,true,false,CA,US
Sweetgreen,sweetgreen.com,QSR and fast casual,Tier 1,$500M to $1B,Public,S3;S10,250+ locations with expansion. Company operated. High menu innovation cadence. Digital first ordering model,62,Tier 3 Volume,true,false,CA,US
Vera Bradley,verabradley.com,Fashion and accessories,Tier 1,$250M to $500M,Public,S3;S7,Vera Bradley and Pura Vida. Print based design system with very high pattern and colourway variation,62,Tier 3 Volume,true,false,IN,US
Ro,ro.co,Consumer health and wellness,Tier 2,$250M to $500M,VC backed,S3;S10,Telehealth and DTC pharmacy across multiple condition categories. Performance marketing led. Late stage VC backed,61,Tier 3 Volume,true,false,NY,US
Glossier,glossier.com,Beauty and personal care,Tier 1,$250M to $500M,VC backed,S3;S10,DTC beauty transitioning to wholesale through Sephora. Brand built on distinctive visual identity and community content,60,Tier 3 Volume,true,false,NY,US
Duluth Trading Company,duluthtrading.com,Fashion and apparel,Tier 1,$500M to $1B,Public,S3,Owned brand apparel with size and fit variation. 60+ stores plus catalogue plus e-commerce. Distinctive brand voice,59,Tier 3 Volume,true,false,WI,US
Nutrafol,nutrafol.com,Consumer health and wellness,Tier 2,$250M to $500M,Subsidiary,S3,"Hair wellness supplements within Unilever. Practitioner, DTC and retail channels. Claim heavy category",59,Tier 3 Volume,true,false,NY,US
Vital Farms,vitalfarms.com,CPG multi brand,Tier 1,$500M to $1B,Public,S3,Eggs and butter with a strong brand and mission narrative. Rapid growth. Small marketing organization,59,Tier 3 Volume,true,false,TX,US
iRhythm Technologies,irhythmtech.com,Consumer health and device,Tier 2,$500M to $1B,Public,S3,Ambulatory cardiac monitoring. Growing consumer and HCP marketing. International expansion underway,59,Tier 3 Volume,true,false,CA,US
Mielle Organics,mielleorganics.com,Beauty and personal care,Tier 1,$250M to $500M,Subsidiary,S3,Textured hair care brand within P&G Beauty. High SKU count. Strong community and creator content requirement,58,Tier 3 Volume,true,false,GA,US
Portillo's,portillos.com,QSR and fast casual,Tier 1,$500M to $1B,Public,S3,85+ locations with expansion into new states. Company operated. Strong regional brand with national ambitions,58,Tier 3 Volume,true,false,IL,US
Thorne HealthTech,thorne.com,Consumer health and wellness,Tier 2,$250M to $500M,PE backed,S3;S9,"Supplements and testing across practitioner, consumer and enterprise channels. Very high SKU count. Claim heavy category",58,Tier 3 Volume,true,false,NY,US
Faherty Brand,fahertybrand.com,Fashion and apparel,Tier 1,$250M to $500M,Private,S3;S10,Growing lifestyle apparel brand. 70+ stores. Print and pattern heavy assortment. Family founded,54,Nurture,false,false,NY,US
