rank,company,primary_domain,alt_domain,domain_confidence,in_hubspot,hs_matched_domain,hs_lifecycle,vertical,vertical_group,industry_tier,segments,revenue_band,hq,ownership,tier,wave,fit_score,hold,outbound_eligible,requires_review,gate_notes,score_industry,score_revenue,score_employees,score_spend,score_volume,score_video,score_brands,score_markets,score_locations,score_sku,score_media,score_ai,score_tech,score_procurement,primary_multiplier,fit_rationale,primary_use_case,est_first_deal,target_titles,trigger_hypothesis,verification_required,reference_to_cite,notes,apollo_lists
11,"Crocs, Inc.",crocs.com,,High,True,crocs.com,lead,Fashion and footwear,Fashion & Footwear,Tier 1,"S2, S7",$1B to $5B,"CO, US",Public,Tier 1 Named,1,81,False,True,False,,12,10,3,8,10,6,3,7,0,6,6,5,2,3,Crocs and HEYDUDE. Extreme colourway and collaboration volume. Jibbitz accessory system. 80+ markets,"Colourway and collaboration volume is among the highest in footwear, and the Jibbitz personalization system multiplies imagery requirements further. 80+ market footprint adds localization. HEYDUDE integration adds a second brand system with different creative needs",Colourway and collaboration imagery at volume plus localization,$150K to $350K,VP E-commerce; Head of Creative Operations; VP Global Marketing,HEYDUDE turnaround; marketing leadership change; collaboration cadence increase; cost programme,Colourway and SKU count. Collaboration cadence. Market count. Whether HEYDUDE shares creative resources,"PacSun, Marc Jacobs, Quay",Colourway plus collab volume is exceptional. Lead with the arithmetic,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear
12,Hyatt Hotels,hyatt.com,,High,True,hyatt.com,lead,Hospitality,"QSR, Franchise & Hospitality",Tier 2,"S2, S7",$5B to $10B,"IL, US",Public,Tier 1 Named,1,81,True,True,True,HOLD: conflict check must be cleared with Sam before outreach,12,8,3,8,10,4,8,7,4,2,5,5,2,3,"30+ brands, 1,400+ properties across 75+ countries. Mixed managed, franchised and owned","Thirty plus brands after multiple acquisitions means brand systems are inconsistent and a governance layer has clear value. Property level plus brand level plus market level content multiplication. Luxury tier brands have high production standards, which is a governance opportunity",Portfolio governance plus property and market localization,$200K to $500K,VP Global Brand Marketing; Head of Creative Operations; VP Digital,Brand acquisition integration; marketing leadership change; international expansion; cost programme,Brand count and whether creative is shared. Property level asset process. Country and language count,"IHG style hospitality precedent, BMW, Marc Jacobs",CONFLICT CHECK: competes with IHG. Clear with Sam,T100 | Master | All Accounts; T100 | HOLD | Conflict Review
13,Inter Parfums,interparfumsinc.com,interparfums.fr,VERIFY,True,interparfumsinc.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S2, S7",$1B to $5B,"NY, US",Public,Tier 1 Named,1,81,False,True,False,,12,10,3,7,8,4,8,7,0,5,5,5,2,5,"15+ licensed fragrance brands including Jimmy Choo, Coach, Montblanc, Kate Spade, Guess, Ferragamo, plus owned brands","Business model is entirely licensed brand fragrance, meaning every single asset requires approval against a licensor brand system. That is a governance problem in its purest form and no template tool addresses it. Global distribution adds localization",Licensed brand asset governance plus localization,$100K to $275K,Head of Creative; VP Global Marketing; VP Digital,New licence additions; marketing leadership change; market expansion,Licensed brand count. Whether licensor approval is a known bottleneck. Market and language count. Creative team size,"Marc Jacobs, Sephora and LVMH",Pure licensed brand model. The governance pitch writes itself,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care
14,Steve Madden,stevemadden.com,,High,True,stevemadden.com,lead,Fashion and footwear,Fashion & Footwear,Tier 1,"S2, S7",$1B to $5B,"NY, US",Public,Tier 1 Named,1,81,False,True,False,,12,10,3,5,10,4,8,6,0,6,5,5,2,5,"Steve Madden, Dolce Vita, Betsey Johnson, Greats, Anne Klein, plus licensed brands. Wholesale plus DTC plus marketplace","High brand count including licensed brands, each requiring assets that satisfy two brand systems. Footwear and accessories colourway variation across three channels with different specifications. Wholesale partners each demand their own asset packages",Colourway and variant imagery plus channel asset packages,$100K to $275K,VP E-commerce; Head of Creative; VP Marketing,Marketing leadership change; brand acquisition activity; international expansion,Brand count including licensed. Colourway count per style. Whether brands share creative. Channel asset requirements,"PacSun, Marc Jacobs, Quay",,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear
15,Dine Brands Global,dinebrands.com,,High,True,dinebrands.com,lead,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,S8,$500M to $1B,"CA, US",Public,Tier 1 Named,1,80,False,True,False,,12,9,3,7,10,4,5,6,5,2,5,5,2,5,"Applebee's, IHOP, Fuzzy's Taco Shop. 3,500+ locations, almost entirely franchised. International presence",Near total franchise model means corporate has minimal control over local execution and franchisees have unmet asset demand by design. Three brands with heavy menu and LTO cadence. International franchise adds localization. Cost pressure is public,Franchise localization portal plus LTO asset systems,$200K to $450K,CMO per brand; VP Field Marketing; VP Franchise Marketing,Cost or turnaround programme; marketing leadership change; franchisee technology investment; international expansion,Ad fund structure and franchisee committee governance. Existing portal. Whether brands share creative. International market count,"Sam's Club, Coca-Cola",Near total franchise model. Ad fund governance is the path to understand,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality"
16,Oddity Tech,oddity.com,,High,True,oddity.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S3, S10",$500M to $1B,NY and Israel,Public,Tier 1 Named,1,80,False,True,False,,12,9,3,8,10,6,3,6,0,5,6,5,2,5,IL MAKIAGE and SpoiledChild. Technology led DTC beauty with extremely high performance creative volume,"Business model is performance marketing led, meaning creative volume is the primary growth constraint and the company already measures it precisely. Sophisticated buyer with real AI capability internally, so the conversation is technical rather than educational. High shade and variant count",Performance creative and variant testing at volume,$100K to $250K,VP Growth; Head of Performance Marketing; Head of Creative,Brand launch activity; growth investment; creative capacity hiring,"Active Meta creative count. Whether creative is produced in house. Internal AI capability, which may make them a build not buy buyer","Quay, SimpliSafe, CyberArk","Sophisticated buyer. Send technical depth, not a deck. Build risk is real",T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Beauty & Personal Care
17,Bath & Body Works,bathandbodyworks.com,,High,True,bathandbodyworks.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4",$5B to $10B,"OH, US",Public,Tier 1 Named,1,79,False,True,False,,12,8,3,8,10,4,3,4,5,6,6,5,2,3,"1,800+ stores, very high SKU count with continuous fragrance and seasonal collection turnover","Seasonal and fragrance collection cadence is faster than almost any retailer on this list, meaning full asset regeneration multiple times per year. High SKU count with constant new introductions. Store count creates regional and promotional asset needs",Seasonal collection asset systems plus PDP content,$150K to $400K,VP Creative Operations; VP E-commerce; VP Brand Marketing,Marketing or creative leadership change; international expansion; open content ops roles,Collection cadence and asset volume per launch. SKU count. Creative ops structure and headcount,"Sephora and LVMH, Williams Sonoma",Collection turnover cadence is the strongest angle,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Omnichannel Retail
18,Church & Dwight,churchdwight.com,,High,True,churchdwight.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",$5B to $10B,"NJ, US",Public,Tier 1 Named,1,79,False,True,False,,12,8,3,8,10,4,8,6,0,5,5,5,2,3,"15+ consumer brands across household and personal care. Multi retailer: mass, club, grocery, Amazon","Classic long tail portfolio. Top brands hold agency relationships, the remaining 10+ are structurally underserved. Retailer specific asset variation across four channels plus international divisions",Long tail brand content programme,$150K to $350K,VP Brand Marketing; Head of Creative Operations; VP Shopper Marketing,Marketing leadership change in trailing 9 months; open AI or content ops roles; advertising expense trend in latest 10-K,Confirm brand count from current investor deck. Pull advertising expense from EDGAR. Count active Meta creatives. Identify named creative ops leader,"Coca-Cola, Svedka",,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
19,Clorox,clorox.com,thecloroxcompany.com,High,True,clorox.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",$5B to $10B,"CA, US",Public,Tier 1 Named,1,79,False,True,False,,12,8,3,8,10,4,8,6,0,5,5,5,2,3,"12+ brands including Clorox, Burt's Bees, Hidden Valley, Brita, Glad. International divisions","Portfolio spans cleaning, personal care, food and lifestyle, meaning wildly different creative requirements per brand with a shared governance need. Burt's Bees alone is a high content velocity beauty brand inside a household parent",Portfolio governance plus long tail brand content,$150K to $400K,VP Brand Marketing; Head of Creative Operations; VP Digital Commerce,Public efficiency or cost programme; marketing leadership change; open AI roles in marketing,Brand count and segment structure from 10-K. Advertising expense. Whether Burt's Bees operates its own marketing team,"Coca-Cola, Sephora and LVMH",,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
20,E. & J. Gallo Winery,gallo.com,ejgallo.com,High,True,ejgallo.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",$1B to $5B,"CA, US",Family owned,Tier 1 Named,1,79,False,True,False,,12,10,3,7,10,4,8,6,0,6,3,5,2,3,Largest wine portfolio in the US. 100+ brands and several hundred labels across price tiers,"Extreme label multiplication with almost no creative investment below the flagship tier. Family ownership means fewer procurement layers than a comparable public company. Label, varietal and vintage variation is a textbook generation problem",Long tail label content plus packaging visualization,$150K to $400K,VP Brand Marketing; Head of Creative; VP Digital,New marketing leadership; DTC expansion; premiumization programme,Brand and label count. Whether creative is centralized. Family ownership means the decision maker may be higher and faster than title suggests,"Svedka, Coca-Cola",Family owned. Faster decisions if you reach the right person,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
21,Edgewell Personal Care,edgewell.com,,High,True,edgewell.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S7",$1B to $5B,"CT, US",Public,Tier 1 Named,1,79,False,True,False,,12,10,3,5,8,4,8,7,0,5,5,5,2,5,"Schick, Wilkinson Sword, Banana Boat, Hawaiian Tropic, Wet Ones, Playtex, Billie, Jack Black. 20+ markets","Portfolio spans shave, sun, feminine care and grooming, each with distinct creative requirements and a shared governance need. Billie and Jack Black are DTC brands inside a traditional CPG parent, which usually means two incompatible content operating models",Portfolio governance plus long tail brand content,$100K to $275K,VP Brand Marketing; Head of Creative Operations; VP Digital and DTC,Marketing leadership change; DTC brand integration; cost programme,Brand count. Whether Billie and Jack Black run separate marketing. Market count. Advertising expense,"Sephora and LVMH, Quay",DTC brands inside a CPG parent is a strong governance angle,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
22,GoTo Foods,gotofoods.com,focusbrands.com,High,True,gotofoods.com,opportunity,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,"S8, S9",$1B to $5B,"GA, US",PE backed,Tier 1 Named,1,79,True,True,True,HOLD: conflict check must be cleared with Sam before outreach,12,10,3,7,10,4,7,4,5,2,5,5,2,3,"Seven brands: Cinnabon, Auntie Anne's, Jamba, Moe's, Carvel, Schlotzsky's, McAlister's. 6,700+ locations, franchised","Seven brands across snack, smoothie, and fast casual, all franchised, with a shared services structure that makes a single governance layer serving seven brands unusually attractive. Roark ownership creates a value creation mandate. Mall and non traditional locations add format variation",Multi brand franchise localization portal,$250K to $600K,CMO; VP Brand Marketing per brand; VP Field Marketing,PE value creation programme; marketing leadership change; franchisee technology investment; brand repositioning,Whether creative is shared across the seven brands. Ad fund structure. Existing franchisee asset portal,"Sam's Club, Coca-Cola",CONFLICT CHECK: Jamba competes with Smoothie King. Clear with Sam before outreach,T100 | Master | All Accounts; T100 | HOLD | Conflict Review
23,Kontoor Brands,kontoorbrands.com,,High,True,kontoorbrands.com,lead,Fashion and footwear,Fashion & Footwear,Tier 1,"S2, S7",$1B to $5B,"NC, US",Public,Tier 1 Named,1,79,False,True,False,,12,10,3,7,10,4,5,7,0,6,5,5,2,3,"Wrangler, Lee, Helly Hansen. Global footprint across 65+ markets. Very high SKU count with fit, wash and size variation","Denim fit, wash and size variation produces one of the highest imagery combinatorics in apparel. 65+ market footprint is a strong localization multiplier. Helly Hansen acquisition adds a technical outdoor brand with entirely different creative requirements",Fit and wash variant imagery plus localization,$150K to $350K,VP E-commerce; Head of Creative Operations; VP Global Brand Marketing,Helly Hansen integration; marketing leadership change; market expansion; cost programme,Market and language count. SKU and wash count. Whether Helly Hansen creative is integrated. Creative ops structure,"PacSun, Marc Jacobs, BMW",Denim wash and fit combinatorics is very specific and credible,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | Fashion & Footwear
24,Academy Sports and Outdoors,academy.com,,High,True,academy.com,lead,Omnichannel retail,Omnichannel Retail,Tier 1,"S2, S4",$5B to $10B,"TX, US",Public,Tier 1 Named,2,78,False,True,False,,12,8,3,7,10,4,7,2,4,6,5,5,2,3,"280+ stores with expansion programme. 100,000+ SKUs. Growing owned brand portfolio. Emerging retail media",High SKU count with a substantial owned brand portfolio that requires brand level rather than retailer level content. Store expansion into new regions adds local asset volume. Owned brands receive far less creative investment than national brands they sit beside,Owned brand content plus PDP content at catalogue scale,$150K to $350K,VP E-commerce; VP Marketing; Head of Creative Operations,Store expansion programme; owned brand expansion; retail media launch; marketing leadership change,Owned brand count. SKU content coverage. Whether retail media exists. Creative ops structure,"Sam's Club, Amazon",,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail
25,Celsius Holdings,celsius.com,celsiusholdingsinc.com,High,True,celsius.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S3, S10",$1B to $5B,"FL, US",Public,Tier 1 Named,1,78,False,True,False,,12,10,3,7,10,6,3,4,0,5,6,5,2,5,High growth energy portfolio plus Alani Nu acquisition. Very high flavour SKU count and heavy creator marketing,"Growth rate has outpaced marketing infrastructure, which is the classic condition for a content supply constraint. Flavour variant volume plus creator content adaptation plus retail and club channel assets all compound. Alani Nu integration adds a second brand system",Social and creator content volume plus flavour variant assets,$100K to $250K,VP Brand Marketing; Head of Content; VP Digital,Alani Nu integration; marketing leadership change; international expansion; capacity hiring,Whether Alani Nu marketing is integrated. Meta creative count. Social cadence versus in house team size,"Quay, PacSun",Growth outpacing infrastructure is the wedge,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
26,Fossil Group,fossilgroup.com,fossil.com,High,True,fossilgroup.com,lead,Fashion and accessories,Fashion & Footwear,Tier 1,"S2, S7",$1B to $5B,"TX, US",Public,Tier 1 Named,2,78,False,True,False,,12,10,3,5,10,2,8,7,0,6,3,5,2,5,"Fossil, Skagen, Zodiac plus licensed watch brands including Michael Kors, Armani Exchange, Diesel, Emporio Armani","Licensed watch brand portfolio requires assets approved by two brand systems for every SKU, which is a governance problem no template tool addresses. Watch SKU variation across case, dial and strap is combinatorial. Turnaround context creates a cost mandate",Licensed brand asset governance plus SKU variant imagery,$100K to $250K,Head of Creative Operations; VP E-commerce; VP Global Brand,Turnaround or cost programme; marketing leadership change; licensing portfolio change,Licensed brand count. SKU and variant count. Whether licensor approval is a known bottleneck. Cost programme targets,"Marc Jacobs, Quay, Panasonic",Licensor dual approval is a distinctive and underpitched wedge,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear
27,McCormick & Company,mccormick.com,mccormickcorporation.com,High,True,mccormick.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,"S2, S7",$5B to $10B,"MD, US",Public,Tier 1 Named,1,78,False,True,False,,12,8,3,7,10,4,8,7,0,6,3,5,2,3,"Spice, seasoning and condiment portfolio including Frank's RedHot, French's, Cholula, Old Bay. Global footprint","Recipe and usage occasion content is a permanent, unbounded need in this category and is exactly the workstream agencies deprioritize. High SKU count with heavy retailer and shopper requirements. Global footprint adds language and taste localization",Recipe and occasion content at volume plus retailer assets,$150K to $350K,VP Brand Marketing; Head of Content; VP Digital Commerce,Marketing leadership change; open content or AI roles; e-commerce growth targets,SKU count. Whether recipe content is produced in house or by agency. Advertising expense,"Coca-Cola, Svedka",Recipe content is the single clearest wedge here,T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | CPG Multi-Brand
28,Bloomin' Brands,bloominbrands.com,,High,True,bloominbrands.com,lead,QSR and franchise,"QSR, Franchise & Hospitality",Tier 1,S8,$1B to $5B,"FL, US",Public,Tier 2 Priority,1,77,False,True,False,,12,10,3,7,10,4,5,4,5,2,5,5,2,3,"Outback Steakhouse, Carrabba's, Bonefish Grill, Fleming's. 1,400+ locations plus international franchise","Four brands with distinct positioning, mixed company and franchise operation, plus Brazilian and other international operations. Turnaround and strategic review context creates a strong cost mandate. Menu and LTO photography is expensive and recurring across four brands",Multi brand menu and LTO asset systems,$150K to $400K,CMO per brand; VP Marketing; Head of Creative,Turnaround or strategic review; Brazil divestiture activity; marketing leadership change; cost programme,Whether brands share creative. Food photography cost and cadence. International structure. Cost programme targets,"Sam's Club, Svedka",Food photography cost across four brands is the clearest arithmetic,"T100 | Master | All Accounts; T100 | Wave 1 | Day 0-30; T100 | Vertical | QSR, Franchise & Hospitality"
